SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,ShipToAddressID,BillToAddressID,ShipMethod,CreditCardApprovalCode,SubTotal,TaxAmt,Freight,TotalDue,Comment,rowguid,ModifiedDate
71785,7,2025-05-17,2025-06-13,2025-05-25,5,True,SO71785,PO13315,10-4020-000375,478,395,344,OVERNIGHT J-FAST,,1847.585,147.8068,36.9517,2032.3435,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.452917
71786,4,2025-01-04,2025-01-23,2025-01-12,5,True,SO71786,PO11398,10-4020-000201,453,185,270,CARGO TRANSPORT 5,,3246.0104,259.6808,64.9202,3570.6114,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.452930
71787,6,2024-06-03,2024-06-13,2024-06-11,5,False,SO71787,PO75902,10-4020-000014,622,140,18,XRQ - TRUCK GROUND-,,8813.5167,705.0813,176.2703,9694.8683,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.452943
71788,7,2024-10-19,2024-10-27,2024-11-02,5,False,SO71788,PO45936,10-4020-000641,59,293,422,CARGO TRANSPORT 5,,9643.0272,771.4422,192.8605,10607.3299,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.452959
71789,8,2025-01-28,2025-02-19,2025-02-02,5,False,SO71789,PO94875,10-4020-000769,559,414,54,CARGO TRANSPORT 5,,14958.6121,1196.689,299.1722,16454.4733,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.452972
71790,3,2024-12-07,2025-01-05,2024-12-21,5,True,SO71790,PO27255,10-4020-000085,430,428,434,CARGO TRANSPORT 5,,481.1127,38.489,9.6223,529.224,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.452985
71791,1,2024-06-29,2024-07-16,2024-07-03,5,False,SO71791,PO35451,10-4020-000671,629,378,9,OVERNIGHT J-FAST,,6678.5012,534.2801,133.57,7346.3513,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.452998
71792,6,2025-05-11,2025-06-09,2025-05-16,5,False,SO71792,PO77677,10-4020-000015,681,207,214,XRQ - TRUCK GROUND-,,12731.0389,1018.4831,254.6208,14004.1428,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453012
71793,4,2025-05-09,2025-06-01,2025-05-14,5,False,SO71793,PO21005,10-4020-000177,455,23,142,XRQ - TRUCK GROUND-,,969.1769,77.5342,19.3835,1066.0946,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453025
71794,7,2024-09-10,2024-09-22,2024-09-23,5,True,SO71794,PO50784,10-4020-000281,575,180,61,OVERNIGHT J-FAST,,10346.3148,827.7052,206.9263,11380.9463,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453039
71795,2,2025-01-25,2025-02-19,2025-02-04,5,True,SO71795,PO25238,10-4020-000093,187,374,45,CARGO TRANSPORT 5,,8544.1903,683.5352,170.8838,9398.6093,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453051
71796,1,2024-11-10,2024-11-22,2024-11-13,5,True,SO71796,PO93616,10-4020-000384,472,42,450,XRQ - TRUCK GROUND-,,8887.6705,711.0136,177.7534,9776.4375,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453063
71797,4,2024-10-05,2024-11-04,2024-10-19,5,True,SO71797,PO50696,10-4020-000055,389,362,147,CARGO TRANSPORT 5,,4651.3457,372.1077,93.0269,5116.4803,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453075
71798,6,2024-10-21,2024-11-10,2024-10-27,5,True,SO71798,PO45756,10-4020-000205,182,152,133,XRQ - TRUCK GROUND-,,2149.3698,171.9496,42.9874,2364.3068,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453087
71799,8,2025-01-12,2025-01-30,2025-01-24,5,False,SO71799,PO55725,10-4020-000791,658,268,231,XRQ - TRUCK GROUND-,,4004.9499,320.396,80.099,4405.4449,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453099
71800,1,2025-05-18,2025-06-12,2025-05-27,5,True,SO71800,PO80510,10-4020-000583,216,360,223,OVERNIGHT J-FAST,,12484.3701,998.7496,249.6874,13732.8071,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453112
71801,5,2025-04-27,2025-05-10,2025-05-05,5,False,SO71801,PO21895,10-4020-000526,792,108,133,CARGO TRANSPORT 5,,12173.0794,973.8464,243.4616,13390.3874,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453125
71802,2,2025-01-26,2025-02-18,2025-02-08,5,True,SO71802,PO72286,10-4020-000144,479,301,166,OVERNIGHT J-FAST,,3949.6464,315.9717,78.9929,4344.611,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453138
71803,1,2025-03-16,2025-04-02,2025-03-30,5,True,SO71803,PO92506,10-4020-000368,9,82,216,OVERNIGHT J-FAST,,5699.7568,455.9805,113.9951,6269.7324,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453150
71804,2,2024-11-19,2024-12-01,2024-11-27,5,False,SO71804,PO31331,10-4020-000479,560,96,386,CARGO TRANSPORT 5,,5083.244,406.6595,101.6649,5591.5684,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453164
71805,8,2025-01-11,2025-02-05,2025-01-23,5,False,SO71805,PO62341,10-4020-000485,250,130,371,OVERNIGHT J-FAST,,12147.8589,971.8287,242.9572,13362.6448,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453176
71806,7,2025-04-04,2025-04-20,2025-04-07,5,True,SO71806,PO76448,10-4020-000111,432,219,397,OVERNIGHT J-FAST,,5101.28,408.1024,102.0256,5611.408,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453189
71807,1,2025-03-23,2025-04-04,2025-04-03,5,True,SO71807,PO49397,10-4020-000612,715,269,102,XRQ - TRUCK GROUND-,,6041.2144,483.2972,120.8243,6645.3359,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453202
71808,6,2024-08-11,2024-08-19,2024-08-15,5,False,SO71808,PO28541,10-4020-000821,355,235,203,CARGO TRANSPORT 5,,1991.8679,159.3494,39.8374,2191.0547,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453214
71809,3,2025-01-22,2025-02-04,2025-01-27,5,False,SO71809,PO50308,10-4020-000083,190,121,440,CARGO TRANSPORT 5,,62.606,5.0085,1.2521,68.8666,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453227
71810,4,2025-01-10,2025-01-21,2025-01-23,5,False,SO71810,PO10648,10-4020-000489,164,177,52,OVERNIGHT J-FAST,,1397.9951,111.8396,27.9599,1537.7946,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453238
71811,4,2025-03-09,2025-03-31,2025-03-22,5,False,SO71811,PO70749,10-4020-000724,249,391,50,OVERNIGHT J-FAST,,10317.4573,825.3966,206.3491,11349.203,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453250
71812,3,2024-08-05,2024-08-24,2024-08-13,5,False,SO71812,PO98440,10-4020-000748,435,306,202,XRQ - TRUCK GROUND-,,4809.4326,384.7546,96.1887,5290.3759,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453262
71813,1,2024-07-07,2024-07-21,2024-07-19,5,True,SO71813,PO40822,10-4020-000378,371,175,257,CARGO TRANSPORT 5,,5235.6644,418.8532,104.7133,5759.2309,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453274
71814,7,2025-04-09,2025-04-18,2025-04-22,5,True,SO71814,PO28098,10-4020-000512,193,23,109,OVERNIGHT J-FAST,,9007.5944,720.6076,180.1519,9908.3539,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453286
71815,7,2025-01-09,2025-02-05,2025-01-14,5,False,SO71815,PO29758,10-4020-000292,319,199,346,OVERNIGHT J-FAST,,1438.1128,115.049,28.7623,1581.9241,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453297
71816,7,2024-06-18,2024-06-30,2024-06-23,5,False,SO71816,PO99435,10-4020-000530,109,239,413,CARGO TRANSPORT 5,,3952.2415,316.1793,79.0448,4347.4656,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453309
71817,2,2024-11-25,2024-12-22,2024-12-04,5,True,SO71817,PO31087,10-4020-000327,132,295,260,OVERNIGHT J-FAST,,10306.681,824.5345,206.1336,11337.3491,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453322
71818,8,2025-05-18,2025-06-14,2025-05-31,5,False,SO71818,PO65372,10-4020-000790,56,156,218,OVERNIGHT J-FAST,,6847.6464,547.8117,136.9529,7532.411,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453334
71819,8,2025-04-21,2025-05-14,2025-04-29,5,False,SO71819,PO53917,10-4020-000548,374,58,403,CARGO TRANSPORT 5,,1783.5784,142.6863,35.6716,1961.9363,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453346
71820,7,2025-01-04,2025-02-01,2025-01-08,5,True,SO71820,PO10911,10-4020-000346,725,303,133,CARGO TRANSPORT 5,,7999.0888,639.9271,159.9818,8798.9977,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453358
71821,8,2025-02-19,2025-03-11,2025-02-22,5,False,SO71821,PO46924,10-4020-000041,125,445,251,OVERNIGHT J-FAST,,12201.8849,976.1508,244.0377,13422.0734,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453370
71822,6,2024-12-05,2024-12-20,2024-12-14,5,False,SO71822,PO98473,10-4020-000304,786,420,13,XRQ - TRUCK GROUND-,,798.599,63.8879,15.972,878.4589,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453382
71823,6,2024-10-15,2024-11-04,2024-10-18,5,False,SO71823,PO52550,10-4020-000305,652,19,306,CARGO TRANSPORT 5,,2721.9863,217.7589,54.4397,2994.1849,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453394
71824,7,2024-11-30,2024-12-14,2024-12-05,5,True,SO71824,PO80121,10-4020-000097,130,373,75,XRQ - TRUCK GROUND-,,10991.9695,879.3576,219.8394,12091.1665,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453405
71825,5,2025-02-08,2025-02-26,2025-02-18,5,True,SO71825,PO78623,10-4020-000583,470,21,40,OVERNIGHT J-FAST,,6494.9532,519.5963,129.8991,7144.4486,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453418
71826,2,2024-12-08,2024-12-27,2024-12-19,5,True,SO71826,PO54272,10-4020-000653,768,155,217,OVERNIGHT J-FAST,,622.3963,49.7917,12.4479,684.6359,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453429
71827,5,2024-06-12,2024-07-12,2024-06-25,5,True,SO71827,PO66811,10-4020-000120,813,99,293,OVERNIGHT J-FAST,,2799.7588,223.9807,55.9952,3079.7347,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453441
71828,4,2024-11-03,2024-12-02,2024-11-06,5,False,SO71828,PO85148,10-4020-000485,221,390,224,OVERNIGHT J-FAST,,9252.943,740.2354,185.0589,10178.2373,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453454
71829,5,2025-05-19,2025-06-11,2025-06-01,5,True,SO71829,PO89249,10-4020-000409,186,348,146,OVERNIGHT J-FAST,,11685.7192,934.8575,233.7144,12854.2911,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453466
71830,1,2024-06-03,2024-06-23,2024-06-16,5,True,SO71830,PO46014,10-4020-000274,474,307,405,XRQ - TRUCK GROUND-,,6137.3827,490.9906,122.7477,6751.121,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453478
71831,4,2024-11-10,2024-11-17,2024-11-24,5,False,SO71831,PO38974,10-4020-000066,627,148,373,XRQ - TRUCK GROUND-,,1502.3581,120.1886,30.0472,1652.5939,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453491
71832,7,2025-04-08,2025-05-05,2025-04-20,5,False,SO71832,PO80969,10-4020-000399,488,286,7,OVERNIGHT J-FAST,,12413.2759,993.0621,248.2655,13654.6035,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453507
71833,8,2024-11-22,2024-12-03,2024-12-02,5,False,SO71833,PO37608,10-4020-000546,715,88,345,OVERNIGHT J-FAST,,4828.66,386.2928,96.5732,5311.526,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453521
71834,2,2024-10-09,2024-11-05,2024-10-19,5,False,SO71834,PO20891,10-4020-000213,766,272,190,OVERNIGHT J-FAST,,6073.9265,485.9141,121.4785,6681.3191,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453534
71835,8,2024-10-28,2024-11-25,2024-11-07,5,True,SO71835,PO30434,10-4020-000640,599,86,320,OVERNIGHT J-FAST,,11275.3199,902.0256,225.5064,12402.8519,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453546
71836,1,2025-03-17,2025-04-02,2025-03-28,5,False,SO71836,PO40765,10-4020-000385,551,68,194,XRQ - TRUCK GROUND-,,6501.3853,520.1108,130.0277,7151.5238,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453570
71837,4,2024-08-03,2024-08-16,2024-08-07,5,False,SO71837,PO33412,10-4020-000163,786,399,377,OVERNIGHT J-FAST,,1499.8483,119.9879,29.997,1649.8332,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453583
71838,4,2025-03-09,2025-03-29,2025-03-21,5,False,SO71838,PO51864,10-4020-000789,372,323,55,XRQ - TRUCK GROUND-,,6157.317,492.5854,123.1463,6773.0487,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453595
71839,6,2025-05-18,2025-06-10,2025-05-29,5,False,SO71839,PO39504,10-4020-000414,507,388,238,OVERNIGHT J-FAST,,14405.579,1152.4463,288.1116,15846.1369,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453608
71840,3,2025-01-17,2025-02-05,2025-01-24,5,True,SO71840,PO79817,10-4020-000850,343,391,238,XRQ - TRUCK GROUND-,,2396.6687,191.7335,47.9334,2636.3356,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.453622
71841,2,2024-08-28,2024-09-16,2024-09-09,5,False,SO71841,PO64823,10-4020-000421,194,326,15,XRQ - TRUCK GROUND-,,10266.1091,821.2887,205.3222,11292.72,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454056
71842,2,2024-09-23,2024-10-19,2024-10-05,5,False,SO71842,PO12992,10-4020-000333,625,128,86,XRQ - TRUCK GROUND-,,2121.652,169.7322,42.433,2333.8172,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454077
71843,2,2025-04-17,2025-05-05,2025-04-20,5,False,SO71843,PO82359,10-4020-000524,198,436,83,OVERNIGHT J-FAST,,7105.1075,568.4086,142.1021,7815.6182,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454092
71844,4,2024-12-06,2024-12-18,2024-12-16,5,True,SO71844,PO52300,10-4020-000136,301,34,16,CARGO TRANSPORT 5,,10859.7486,868.7799,217.195,11945.7235,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454106
71845,4,2025-03-23,2025-04-20,2025-04-04,5,False,SO71845,PO41704,10-4020-000816,182,237,257,XRQ - TRUCK GROUND-,,6944.6348,555.5708,138.8927,7639.0983,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454119
71846,6,2024-07-27,2024-08-08,2024-08-02,5,False,SO71846,PO19154,10-4020-000008,767,17,350,XRQ - TRUCK GROUND-,,12065.1203,965.2096,241.3024,13271.6323,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454133
71847,8,2024-12-26,2025-01-14,2024-12-30,5,False,SO71847,PO44082,10-4020-000734,551,62,367,XRQ - TRUCK GROUND-,,13012.5876,1041.007,260.2518,14313.8464,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454147
71848,1,2025-04-28,2025-05-19,2025-05-08,5,True,SO71848,PO48399,10-4020-000832,408,425,422,XRQ - TRUCK GROUND-,,14838.6718,1187.0937,296.7734,16322.5389,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454160
71849,8,2024-06-21,2024-07-11,2024-06-25,5,True,SO71849,PO29134,10-4020-000269,777,423,297,CARGO TRANSPORT 5,,5482.4304,438.5944,109.6486,6030.6734,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454173
71850,6,2024-08-26,2024-09-06,2024-09-01,5,False,SO71850,PO37536,10-4020-000271,100,169,329,XRQ - TRUCK GROUND-,,5528.6444,442.2916,110.5729,6081.5089,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454186
71851,8,2024-07-08,2024-07-22,2024-07-15,5,False,SO71851,PO48704,10-4020-000706,456,170,404,OVERNIGHT J-FAST,,6900.7182,552.0575,138.0144,7590.7901,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454198
71852,5,2025-05-25,2025-06-20,2025-05-28,5,True,SO71852,PO29401,10-4020-000535,296,14,114,OVERNIGHT J-FAST,,3905.9303,312.4744,78.1186,4296.5233,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454212
71853,5,2025-03-16,2025-04-01,2025-03-30,5,True,SO71853,PO84401,10-4020-000650,313,244,366,OVERNIGHT J-FAST,,5472.7273,437.8182,109.4545,6020.0,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454225
71854,3,2025-05-11,2025-05-22,2025-05-23,5,False,SO71854,PO60361,10-4020-000264,653,117,15,CARGO TRANSPORT 5,,4458.4503,356.676,89.169,4904.2953,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454237
71855,1,2025-03-26,2025-04-10,2025-04-03,5,False,SO71855,PO72517,10-4020-000634,175,177,330,CARGO TRANSPORT 5,,4579.2007,366.3361,91.584,5037.1208,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454251
71856,6,2025-03-28,2025-04-20,2025-04-05,5,False,SO71856,PO73602,10-4020-000664,174,446,269,OVERNIGHT J-FAST,,12796.5266,1023.7221,255.9305,14076.1792,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454264
71857,7,2024-08-29,2024-09-05,2024-09-11,5,True,SO71857,PO54874,10-4020-000231,317,106,115,CARGO TRANSPORT 5,,7285.7764,582.8621,145.7155,8014.354,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454277
71858,2,2024-10-21,2024-11-17,2024-10-27,5,False,SO71858,PO75377,10-4020-000471,584,327,7,XRQ - TRUCK GROUND-,,9149.1865,731.9349,182.9837,10064.1051,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454290
71859,4,2025-02-24,2025-03-14,2025-03-09,5,True,SO71859,PO62231,10-4020-000642,102,169,260,CARGO TRANSPORT 5,,13477.1134,1078.1691,269.5423,14824.8248,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454303
71860,2,2024-10-17,2024-10-25,2024-10-27,5,True,SO71860,PO42072,10-4020-000263,817,379,94,XRQ - TRUCK GROUND-,,8321.603,665.7282,166.4321,9153.7633,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454315
71861,4,2025-04-30,2025-05-29,2025-05-14,5,False,SO71861,PO33256,10-4020-000042,624,137,283,OVERNIGHT J-FAST,,12869.963,1029.597,257.3993,14156.9593,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454328
71862,2,2024-07-17,2024-07-28,2024-07-28,5,False,SO71862,PO17977,10-4020-000213,234,125,300,XRQ - TRUCK GROUND-,,11159.5012,892.7601,223.19,12275.4513,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454340
71863,1,2025-01-31,2025-02-17,2025-02-13,5,True,SO71863,PO35745,10-4020-000490,120,227,43,OVERNIGHT J-FAST,,6990.8558,559.2685,139.8171,7689.9414,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454352
71864,4,2024-09-10,2024-10-06,2024-09-20,5,False,SO71864,PO84623,10-4020-000010,596,221,441,CARGO TRANSPORT 5,,1543.1448,123.4516,30.8629,1697.4593,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454364
71865,4,2025-01-13,2025-02-07,2025-01-26,5,False,SO71865,PO10064,10-4020-000258,773,209,308,OVERNIGHT J-FAST,,11672.0682,933.7655,233.4414,12839.2751,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454376
71866,6,2025-02-08,2025-03-03,2025-02-18,5,False,SO71866,PO94578,10-4020-000307,271,445,273,CARGO TRANSPORT 5,,9485.3665,758.8293,189.7073,10433.9031,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454388
71867,5,2024-11-22,2024-12-19,2024-12-02,5,True,SO71867,PO33878,10-4020-000500,7,164,261,OVERNIGHT J-FAST,,4165.5608,333.2449,83.3112,4582.1169,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454401
71868,2,2025-02-09,2025-03-01,2025-02-22,5,False,SO71868,PO22395,10-4020-000454,351,327,352,XRQ - TRUCK GROUND-,,2488.8066,199.1045,49.7761,2737.6872,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454414
71869,2,2024-09-02,2024-09-16,2024-09-08,5,False,SO71869,PO75769,10-4020-000313,328,393,272,OVERNIGHT J-FAST,,2944.2528,235.5402,58.8851,3238.6781,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454426
71870,4,2024-07-23,2024-08-17,2024-08-05,5,True,SO71870,PO52436,10-4020-000161,197,393,203,CARGO TRANSPORT 5,,10286.9575,822.9566,205.7392,11315.6533,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454439
71871,3,2024-08-20,2024-09-06,2024-08-31,5,False,SO71871,PO95654,10-4020-000610,808,214,400,XRQ - TRUCK GROUND-,,9171.3423,733.7074,183.4268,10088.4765,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454451
71872,5,2024-10-16,2024-11-07,2024-10-23,5,False,SO71872,PO29003,10-4020-000314,342,373,182,XRQ - TRUCK GROUND-,,3469.4178,277.5534,69.3884,3816.3596,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454463
71873,7,2024-11-09,2024-12-04,2024-11-18,5,False,SO71873,PO10743,10-4020-000781,414,29,210,OVERNIGHT J-FAST,,6773.1327,541.8506,135.4627,7450.446,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454826
71874,8,2025-04-27,2025-05-12,2025-04-30,5,True,SO71874,PO37342,10-4020-000678,734,132,151,OVERNIGHT J-FAST,,12090.2928,967.2234,241.8059,13299.3221,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454937
71875,7,2024-06-13,2024-06-30,2024-06-24,5,True,SO71875,PO38177,10-4020-000633,516,226,439,OVERNIGHT J-FAST,,4861.5946,388.9276,97.2319,5347.7541,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454952
71876,3,2024-07-25,2024-08-11,2024-08-08,5,False,SO71876,PO87717,10-4020-000482,48,400,338,OVERNIGHT J-FAST,,1162.6824,93.0146,23.2536,1278.9506,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454966
71877,8,2025-05-19,2025-06-02,2025-05-26,5,False,SO71877,PO17774,10-4020-000104,58,328,176,OVERNIGHT J-FAST,,14397.989,1151.8391,287.9598,15837.7879,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.454979
71878,5,2025-03-03,2025-03-13,2025-03-13,5,True,SO71878,PO19697,10-4020-000333,794,376,212,CARGO TRANSPORT 5,,5573.26,445.8608,111.4652,6130.586,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.455145
71879,4,2024-08-17,2024-09-10,2024-08-21,5,False,SO71879,PO42142,10-4020-000336,587,280,391,XRQ - TRUCK GROUND-,,8867.6343,709.4107,177.3527,9754.3977,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.455159
71880,5,2024-10-12,2024-11-10,2024-10-15,5,True,SO71880,PO18913,10-4020-000805,717,365,379,OVERNIGHT J-FAST,,8372.2828,669.7826,167.4457,9209.5111,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.455171
71881,8,2024-12-02,2025-01-01,2024-12-08,5,True,SO71881,PO52109,10-4020-000480,234,236,186,OVERNIGHT J-FAST,,13581.2973,1086.5038,271.6259,14939.427,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.455184
71882,5,2024-09-10,2024-09-25,2024-09-22,5,True,SO71882,PO28385,10-4020-000123,658,211,219,OVERNIGHT J-FAST,,10181.1486,814.4919,203.623,11199.2635,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.455195
