ProductID,Name,ProductNumber,Color,StandardCost,ListPrice,Size,Weight,ProductCategoryID,ProductModelID,SellStartDate,SellEndDate,rowguid,ModifiedDate
20,Half-Finger Gloves,HA-1583,White,1985.0856,4000.8816,XL,,29,,2026-09-03T11:32:30.450949,2026-09-03T11:32:30.450950,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450951
21,Full-Finger Gloves,FU-4607,White,2616.9839,3806.0937,,,16,,2026-09-03T11:32:30.450955,2026-09-03T11:32:30.450956,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450957
22,Hitch Rack,HI-5630,Blue,2202.0143,3210.8558,M,21.5,18,,2026-09-03T11:32:30.450961,2026-09-03T11:32:30.450962,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450963
23,All-Purpose Bike Stand,AL-2102,Silver,14.5771,28.0618,XL,1.45,21,,2026-09-03T11:32:30.450967,2026-09-03T11:32:30.450968,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450968
24,Water Bottle,WA-4845,White,1842.0678,3045.5182,L,21.1,23,,2026-09-03T11:32:30.450973,2026-09-03T11:32:30.450974,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450974
25,Mountain Bottle Cage,MO-9031,,2005.5875,4049.3529,48,7.74,19,,2026-09-03T11:32:30.450979,2026-09-03T11:32:30.450980,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450980
26,Road Bottle Cage,RO-5706,Silver,341.5404,840.2477,48,,32,,2026-09-03T11:32:30.450985,2026-09-03T11:32:30.450985,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450986
27,Patch Kit,PA-8614,Black,351.8784,724.4461,48,17.77,35,,2026-09-03T11:32:30.450991,2026-09-03T11:32:30.450991,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450992
28,Touring Tire Tube,TO-9014,Yellow,2521.1619,4375.7382,XL,,22,,2026-09-03T11:32:30.450996,2026-09-03T11:32:30.450997,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450997
29,Mountain Tire,MO-7701,Red,1524.9248,2944.5299,48,,25,,2026-09-03T11:32:30.451001,2026-09-03T11:32:30.451002,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.451003
30,Touring Tire,TO-8240,Silver,1236.6311,2124.8826,S,,19,,2026-09-03T11:32:30.451007,2026-09-03T11:32:30.451008,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.451008
31,HL Mountain Pedal,HL-1747,Black,1022.8255,1822.6006,XL,4.58,18,,2026-09-03T11:32:30.451013,2026-09-03T11:32:30.451013,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.451014
32,ML Road Pedal,ML-2807,Yellow,2339.7582,4665.4236,L,0.99,6,,2026-09-03T11:32:30.451019,2026-09-03T11:32:30.451019,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.451020
33,Chain,CH-2478,,2408.2266,5096.1679,48,14.05,8,,2026-09-03T11:32:30.451025,2026-09-03T11:32:30.451025,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.451026
34,HL Crankset,HL-6932,Yellow,1558.3538,2272.0358,L,10.19,19,,2026-09-03T11:32:30.451030,2026-09-03T11:32:30.451031,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.451032
35,ML Crankset,ML-3644,Black,874.1115,1425.6346,XL,6.59,5,,2026-09-03T11:32:30.451036,2026-09-03T11:32:30.451037,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.451037
36,HL Bottom Bracket,HL-1328,,113.0445,273.846,M,19.89,7,,2026-09-03T11:32:30.451042,2026-09-03T11:32:30.451043,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.451043
37,Front Brakes,FR-5939,Red,475.0518,712.1059,XL,,12,,2026-09-03T11:32:30.451047,2026-09-03T11:32:30.451048,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.451049
38,Rear Brakes,RE-7190,White,2439.9225,4199.0486,42,2.37,37,,2026-09-03T11:32:30.451053,2026-09-03T11:32:30.451054,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.451054
39,Headlights,HE-7805,Red,2167.728,2642.8166,L,,30,,2026-09-03T11:32:30.451059,2026-09-03T11:32:30.451059,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.451060
40,Taillight,TA-6114,,586.8808,951.2427,S,11.74,11,,2026-09-03T11:32:30.451064,2026-09-03T11:32:30.451065,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.451066
41,Minipump,MI-8723,Silver,796.4885,1257.3449,M,,31,,2026-09-03T11:32:30.451070,2026-09-03T11:32:30.451070,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.451071
42,Fender Set,FE-8919,Black,1685.1838,4010.6793,XL,24.83,30,,2026-09-03T11:32:30.451076,2026-09-03T11:32:30.451076,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.451077
43,Mountain-300,MO-9955,White,2854.6149,3827.4551,XL,1.11,19,,2026-09-03T11:32:30.451081,2026-09-03T11:32:30.451082,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.451082
44,Mountain-400,MO-8811,Yellow,1344.0204,1803.1821,42,20.34,10,,2026-09-03T11:32:30.451087,2026-09-03T11:32:30.451088,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.451088
45,Mountain-500,MO-3773,Blue,290.6902,675.6443,,2.56,30,,2026-09-03T11:32:30.451093,2026-09-03T11:32:30.451093,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.451094
46,Road-450,RO-8758,Yellow,1851.383,3961.8525,XL,,36,,2026-09-03T11:32:30.451099,2026-09-03T11:32:30.451099,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.451100
47,Road-550,RO-6102,White,759.8114,1245.5049,L,,41,,2026-09-03T11:32:30.451104,2026-09-03T11:32:30.451105,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.451105
48,Road-650,RO-1091,Black,1798.1966,3771.7471,,8.17,20,,2026-09-03T11:32:30.451110,2026-09-03T11:32:30.451111,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.451111
49,Road-750,RO-8913,Yellow,968.9047,1861.5076,M,10.93,9,,2026-09-03T11:32:30.451116,2026-09-03T11:32:30.451117,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.451117
50,Touring-3000,TO-1223,Blue,1130.1797,2120.1275,M,,33,,2026-09-03T11:32:30.451122,2026-09-03T11:32:30.451122,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.451123
51,LL Road Frame,LL-2862,Red,2609.8988,6136.2732,,,38,,2026-09-03T11:32:30.451127,2026-09-03T11:32:30.451128,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.451128
52,LL Touring Frame,LL-9963,Silver,1464.1442,2517.1968,42,,23,,2026-09-03T11:32:30.451133,2026-09-03T11:32:30.451133,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.451134
53,ML Touring Frame,ML-5441,Yellow,2161.2293,3499.2507,48,4.57,23,,2026-09-03T11:32:30.451138,2026-09-03T11:32:30.451139,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.451140
54,HL Touring Frame,HL-4349,,1572.1375,3141.4448,48,6.66,34,,2026-09-03T11:32:30.451144,2026-09-03T11:32:30.451145,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.451146
